Year,Province,Reported_Confirmed_Cases,Estimated_Cases_WHO,Reported_Deaths,Estimated_Deaths_WHO,Plasmodium_Vivax_Pct,Rainfall_Anomaly_mm,Bednets_Distributed
2019,Punjab,195413,360000,4,155,93.0,11.5,220000
2020,Sindh,109300,240000,2,102,83.5,-5.4,700000
2020,Balochistan,68900,205000,1,98,77.9,-12.3,450000
2020,KPK,35600,130000,1,42,86.5,42.1,300000
2020,Punjab,194810,375000,4,158,91.8,-2.1,250000
2021,Sindh,102300,330000,3,142,81.2,4.5,800000
2021,Balochistan,72100,280000,2,130,76.4,12.8,500000
2021,KPK,41200,160000,1,55,85.1,18.2,350000
2021,Punjab,183497,530000,4,223,90.4,-8.4,300000
2022,Sindh,785400,1450000,12,520,74.2,425.4,1500000
2022,Balochistan,492300,980000,8,390,71.5,310.2,950000
2022,KPK,142100,380000,3,140,82.0,85.6,500000
2022,Punjab,232541,590000,1,150,88.1,62.1,400000
2023,Sindh,1150000,1650000,19,590,75.0,22.4,2100000
2023,Balochistan,780000,1100000,15,440,72.1,15.1,1300000
2023,KPK,195000,420000,4,160,83.4,4.2,600000
2023,Punjab,575000,430000,3,210,89.0,-1.5,450000
2024,Sindh,895000,1050000,5,340,79.5,12.0,1800000
2024,Balochistan,612000,740000,4,280,75.2,-2.4,1100000
2024,KPK,162000,280000,2,110,84.6,18.5,550000
2024,Punjab,436015,330000,1,70,90.2,5.1,400000
2025,Sindh,765000,880000,4,290,81.0,8.2,2000000
2025,Balochistan,522000,610000,3,230,77.0,-6.1,1200000
2025,KPK,134000,210000,1,90,86.2,-4.5,580000
2025,Punjab,379000,300000,2,90,91.5,2.0,420000
